## 主线判断
- 半导体科创为当前核心主线，同时位列当日高热度热点、跨周期持续热点、重点板块三类清单
- 消费电子为次强短期热点线，AI手机、智能穿戴、MiniLED、苹果链等多个细分进入热点池
- 新材料为独立结构性机会线，化工材料链进入当日高热度热点，PET铜箔板块评分居B类首位

## 板块解读
- PET铜箔板块评级B，建议观察，板块评分71，近10日资金净流入占比0.13%，20日量比1.17，龙头为德福科技
- 存储芯片板块评级B，建议观察，板块评分69.5，20日量比1.55，龙头为北方华创，是当前关联基金最多的板块
- 先进封装、同花顺果指数、MiniLED均为B类观察评级，评分介于61-69之间，仅先进封装有明确匹配的ETF产品
- OLED、电子纸为C类回避评级，评分低于52，近10日资金均为净流出，20日相对收益表现靠后

## 基金解读
- 半导体ETF（512480）、科创芯片ETF（588000）、芯片ETF（159995）的行情由存储芯片、先进封装两个板块共同驱动，标的匹配度完全吻合
- 东方人工智能主题混合A/C、东方阿尔法科技优选混合发起A的行情由存储芯片板块驱动，持仓与板块内中科飞测、芯源微重合
- PET铜箔、同花顺果指数、MiniLED等B类强势板块暂无对应可跟踪关联基金，属于板块强但基金映射弱的情况
- 当前未发现基金强但板块证据不足的案例，半导体概念、苹果概念等6个重点板块暂未匹配到有效分析数据

## 风险与观察
- 存储芯片、先进封装板块近10日资金为净流出，需警惕两类板块关联ETF的短期回调风险
- OLED、电子纸板块明确建议回避，持仓相关标的的基金需警惕净值回撤风险
- PET铜箔当前无对应跟踪基金，可持续观察是否有老基金调仓或新发产品覆盖该赛道
- 半导体概念、苹果概念等6个未完成匹配的重点板块，需补充板块数据后再验证相关基金的联动逻辑
